Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-10-11,15.766,15.956,15.348,15.424,20363500,0.0,0.0
2018-10-12,15.928,16.196,15.71,15.99,18645500,0.0,0.0
2018-10-15,16.06,16.258,15.712,16.03,12905000,0.0,0.0
2018-10-16,16.29,16.598,16.134,16.542,11188500,0.0,0.0
2018-10-17,16.602,16.748,16.21,16.332,13539000,0.0,0.0
2018-10-18,16.19,16.502,16.14,16.342,14145500,0.0,0.0
2018-10-19,16.522,16.792,16.228,16.24,11393500,0.0,0.0
2018-10-22,16.3,16.694,16.168,16.588,10575500,0.0,0.0
2018-10-23,16.16,16.75,16.068,16.68,10476500,0.0,0.0
2018-10-24,16.61,16.79,15.778,15.82,8937000,0.0,0.0
2018-10-25,15.978,16.362,15.846,16.22,9034500,0.0,0.0
2018-10-26,15.77,15.986,15.432,15.638,9069500,0.0,0.0
2018-10-29,16.054,16.198,15.204,15.508,10465500,0.0,0.0
2018-10-30,15.456,15.892,15.378,15.79,9917500,0.0,0.0
2018-10-31,16.212,16.568,16.154,16.436,10595500,0.0,0.0
2018-11-01,16.44,16.8,15.936,16.738,11803000,0.0,0.0
2018-11-02,16.336,16.344,14.308,14.512,29632500,0.0,0.0
2018-11-05,14.602,15.044,14.338,14.974,14500000,0.0,0.0
2018-11-06,14.914,15.128,14.704,14.95,9645000,0.0,0.0
2018-11-07,15.182,15.736,15.124,15.572,14676000,0.0,0.0
2018-11-08,15.612,15.898,15.456,15.582,11460500,0.0,0.0
2018-11-09,15.378,15.444,14.792,14.946,11174500,0.0,0.0
2018-11-12,14.878,15.072,14.53,14.748,8576500,0.0,0.0
2018-11-13,14.764,15.008,14.56,14.696,6777000,0.0,0.0
2018-11-14,14.94,15.086,14.604,14.668,9375000,0.0,0.0
2018-11-15,14.502,14.63,14.32,14.55,8675500,0.0,0.0
2018-11-16,14.476,14.732,14.306,14.69,11099000,0.0,0.0
2018-11-19,14.626,14.67,13.506,13.556,14420500,0.0,0.0
2018-11-20,13.154,13.718,12.93,13.408,16924000,0.0,0.0
2018-11-21,13.528,13.856,13.508,13.708,17896500,0.0,0.0
2018-11-23,13.528,13.804,13.528,13.592,4263500,0.0,0.0
2018-11-26,13.842,14.214,13.726,14.168,9080500,0.0,0.0
2018-11-27,14.118,14.24,13.972,14.14,9286500,0.0,0.0
2018-11-28,14.25,14.758,14.25,14.704,8112500,0.0,0.0
2018-11-29,14.614,14.88,14.428,14.78,7416500,0.0,0.0
2018-11-30,14.79,15.014,14.532,14.768,15608000,0.0,0.0
2018-12-03,15.246,15.436,14.872,15.022,11311500,0.0,0.0
2018-12-04,15.096,15.278,14.488,14.676,11437000,0.0,0.0
2018-12-06,14.324,15.094,14.068,15.088,11368500,0.0,0.0
2018-12-07,14.962,15.1,14.238,14.322,9216000,0.0,0.0
2018-12-10,14.408,14.99,14.408,14.94,7206000,0.0,0.0
2018-12-11,15.194,15.256,14.8,14.888,17497000,0.0,0.0
2018-12-12,15.2,15.27,14.926,15.038,7198500,0.0,0.0
2018-12-13,15.188,15.27,14.726,14.902,5705000,0.0,0.0
2018-12-14,14.608,14.906,14.426,14.582,11192000,0.0,0.0
2018-12-17,14.468,14.5,13.572,13.648,14733000,0.0,0.0
2018-12-18,13.73,14.284,13.73,14.014,15791500,0.0,0.0
2018-12-19,14.144,14.492,13.892,14.004,12113000,0.0,0.0
2018-12-20,13.88,14.144,13.432,13.974,17435000,0.0,0.0
2018-12-21,14.042,14.164,13.02,13.168,20716000,0.0,0.0
2018-12-24,13.0,13.4,12.882,13.102,5471500,0.0,0.0
2018-12-26,13.206,13.732,13.192,13.714,13964000,0.0,0.0
2018-12-27,13.532,14.082,13.414,14.078,8030000,0.0,0.0
2018-12-28,14.15,14.332,13.83,14.068,5408000,0.0,0.0
2018-12-31,14.214,14.312,13.994,14.086,5545500,0.0,0.0
2019-01-02,13.716,14.136,13.608,13.936,7750000,0.0,0.0
2019-01-03,13.76,13.866,13.392,13.514,10292500,0.0,0.0
2019-01-04,13.158,13.576,13.012,13.382,21059500,0.0,0.0
2019-01-07,13.364,14.102,13.364,14.018,21051500,0.0,0.0
2019-01-08,14.158,14.372,14.062,14.31,12045500,0.0,0.0
2019-01-09,14.4,14.694,14.34,14.616,8688500,0.0,0.0
2019-01-10,14.452,14.654,14.038,14.642,7581500,0.0,0.0
2019-01-11,14.598,14.676,14.45,14.654,6497500,0.0,0.0
2019-01-14,14.524,14.568,14.38,14.452,5812000,0.0,0.0
2019-01-15,14.508,15.058,14.508,14.926,9792500,0.0,0.0
2019-01-16,14.92,15.0,14.344,14.468,7138500,0.0,0.0
2019-01-17,14.388,14.664,14.322,14.53,5422500,0.0,0.0
2019-01-18,14.472,14.5,13.972,14.1,18154500,0.0,0.0
2019-01-22,13.8,14.1,13.63,13.97,17794500,0.0,0.0
2019-01-23,14.058,14.536,13.844,14.296,14973000,0.0,0.0
2019-01-24,14.312,14.604,14.294,14.504,7827500,0.0,0.0
2019-01-25,14.628,14.786,14.6,14.718,7284500,0.0,0.0
2019-01-28,14.606,14.832,14.454,14.744,6214000,0.0,0.0
2019-01-29,14.79,14.9,14.556,14.642,7452000,0.0,0.0
2019-01-30,14.784,15.04,14.658,15.032,8802000,0.0,0.0
2019-01-31,15.05,15.514,15.05,15.314,11350500,0.0,0.0
2019-02-01,15.338,15.852,15.338,15.78,12447500,0.0,0.0
2019-02-04,15.906,16.112,15.792,16.028,13822000,0.0,0.0
2019-02-05,16.05,16.452,16.028,16.394,13872500,0.0,0.0
2019-02-06,16.4,16.46,16.008,16.244,13943500,0.0,0.0
2019-02-07,16.2,16.216,15.272,15.872,24798500,0.0,0.0
2019-02-08,15.728,16.328,15.68,16.204,11679000,0.0,0.0
2019-02-11,16.276,16.448,16.164,16.338,8930500,0.0,0.0
2019-02-12,16.434,16.658,16.396,16.626,10507500,0.0,0.0
2019-02-13,16.674,16.744,16.424,16.484,6404000,0.0,0.0
2019-02-14,16.42,16.726,16.388,16.638,5721500,0.0,0.0
2019-02-15,16.67,16.7,16.516,16.622,6986000,0.0,0.0
2019-02-19,16.604,16.852,16.596,16.786,7196500,0.0,0.0
2019-02-20,16.826,16.85,16.588,16.774,6357000,0.0,0.0
2019-02-21,16.738,16.96,16.63,16.898,7346000,0.0,0.0
2019-02-22,16.996,17.366,16.946,17.358,8405500,0.0,0.0
2019-02-25,17.492,17.72,17.37,17.412,7774500,0.0,0.0
2019-02-26,17.352,17.46,17.216,17.396,5795500,0.0,0.0
2019-02-27,17.496,17.678,17.424,17.58,6028000,0.0,0.0
2019-02-28,17.566,17.708,17.334,17.358,10333000,0.0,0.0
2019-03-01,17.482,17.58,17.134,17.386,7338000,0.0,0.0
2019-03-04,17.44,17.474,16.472,16.764,9218500,0.0,0.0
2019-03-05,16.702,16.854,16.64,16.724,6015500,0.0,0.0
2019-03-06,16.746,16.854,16.502,16.58,6131000,0.0,0.0
2019-03-07,16.582,16.782,16.478,16.496,10011000,0.0,0.0
2019-03-08,16.328,16.336,15.932,16.134,9240000,0.0,0.0
2019-03-11,16.262,16.526,16.23,16.512,7144000,0.0,0.0
2019-03-12,16.53,16.6,16.326,16.48,6425500,0.0,0.0
2019-03-13,16.532,16.888,16.532,16.732,7133500,0.0,0.0
2019-03-14,16.724,16.932,16.7,16.876,5087500,0.0,0.0
2019-03-15,16.896,16.934,16.646,16.652,18956500,0.0,0.0
2019-03-18,16.682,16.912,16.596,16.902,8351000,0.0,0.0
2019-03-19,16.99,17.08,16.734,17.064,9018500,0.0,0.0
2019-03-20,17.198,17.39,16.902,17.12,6941000,0.0,0.0
2019-03-21,17.106,17.668,17.092,17.66,7601500,0.0,0.0
2019-03-22,17.6,17.636,17.024,17.038,6605000,0.0,0.0
2019-03-25,16.916,17.116,16.702,17.004,4325000,0.0,0.0
2019-03-26,17.178,17.272,16.906,16.968,4902000,0.0,0.0
2019-03-27,16.954,16.978,16.166,16.366,9904500,0.0,0.0
2019-03-28,16.434,16.592,16.326,16.47,4585500,0.0,0.0
2019-03-29,16.584,16.806,16.452,16.794,6697500,0.0,0.0
2019-04-01,16.918,17.186,16.654,17.044,6107000,0.0,0.0
2019-04-02,17.076,17.18,16.854,17.126,9621500,0.0,0.0
2019-04-03,17.222,17.588,17.216,17.498,8164000,0.0,0.0
2019-04-04,17.562,17.57,16.488,16.7,16137000,0.0,0.0
2019-04-05,16.786,17.01,16.694,16.822,5693000,0.0,0.0
2019-04-08,16.818,17.37,16.662,17.216,8111000,0.0,0.0
2019-04-09,17.094,17.488,17.068,17.462,9002500,0.0,0.0
2019-04-10,17.52,17.994,17.476,17.924,13900500,0.0,0.0
2019-04-11,18.0,18.174,17.804,17.936,10151000,0.0,0.0
2019-04-12,18.06,18.582,18.004,18.542,12526500,0.0,0.0
2019-04-15,18.57,19.118,18.56,19.044,12616000,0.0,0.0
2019-04-16,19.19,19.392,18.688,18.81,10922000,0.0,0.0
2019-04-17,18.874,18.992,18.312,18.474,8888000,0.0,0.0
2019-04-18,17.972,18.224,17.642,18.216,11044500,0.0,0.0
2019-04-22,18.168,18.388,18.122,18.314,6222500,0.0,0.0
2019-04-23,18.36,18.426,18.056,18.398,8966000,0.0,0.0
2019-04-24,18.49,18.642,18.408,18.452,6925000,0.0,0.0
2019-04-25,18.564,18.676,18.27,18.58,7056000,0.0,0.0
2019-04-26,18.6,18.678,18.28,18.604,5955500,0.0,0.0
2019-04-29,18.7,18.838,18.55,18.606,6573000,0.0,0.0
2019-04-30,18.604,18.752,18.52,18.684,6330500,0.0,0.0
2019-05-01,18.728,18.728,18.358,18.378,7588000,0.0,0.0
2019-05-02,18.364,18.524,18.098,18.302,10797000,0.0,0.0
2019-05-03,17.21,17.336,16.56,17.192,21916000,0.0,0.0
2019-05-06,16.73,17.04,16.57,17.002,11781000,0.0,0.0
2019-05-07,16.8,16.83,16.146,16.356,15485000,0.0,0.0
2019-05-08,16.318,16.444,16.178,16.33,7461000,0.0,0.0
2019-05-09,16.05,16.452,15.95,16.362,7243500,0.0,0.0
2019-05-10,16.252,16.644,16.068,16.58,8692500,0.0,0.0
2019-05-13,16.15,16.352,15.884,15.898,9609000,0.0,0.0
2019-05-14,16.004,16.332,16.0,16.24,6942500,0.0,0.0
2019-05-15,16.154,16.45,16.1,16.21,5569500,0.0,0.0
2019-05-16,16.222,16.716,16.222,16.648,6355500,0.0,0.0
2019-05-17,16.472,16.814,16.356,16.524,6369500,0.0,0.0
2019-05-20,16.324,16.412,16.138,16.27,4413000,0.0,0.0
2019-05-21,16.488,16.594,16.39,16.512,4576500,0.0,0.0
2019-05-22,16.394,16.524,16.306,16.392,3689500,0.0,0.0
2019-05-23,16.13,16.144,15.344,15.498,13601000,0.0,0.0
2019-05-24,15.64,15.78,15.452,15.548,7613500,0.0,0.0
2019-05-28,15.574,15.86,15.408,15.448,8801500,0.0,0.0
2019-05-29,15.322,15.476,15.01,15.164,8648500,0.0,0.0
2019-05-30,15.16,15.286,15.022,15.21,7093000,0.0,0.0
